group_key,n,within_group_rmse_mean,within_group_rmse_max
"[""2::2::178""]",9,0.027535547708847807,0.05891941806881245
"[""2::2::179""]",9,0.025834418072789064,0.03648663688866979
"[""2::2::180""]",9,0.02036981921703854,0.033120211638161236
"[""2::2::181""]",9,0.019426199259811365,0.031072941544318684
"[""2::2::182""]",9,0.025341237919766106,0.06341129738776712
"[""2::2::183""]",9,0.03301376541429417,0.07626542118377966
"[""2::2::184""]",9,0.026677848598043265,0.04775243484735682
"[""2::2::185""]",9,0.03287011804430683,0.09649991754411763
"[""2::2::186""]",9,0.027351448272174735,0.05813536511471402
"[""2::2::187""]",9,0.025937051351543727,0.06263601356361513
"[""2::2::188""]",9,0.026143769197413017,0.06969068969516069
"[""2::2::189""]",9,0.0323552294715153,0.06500316087648882
"[""2::2::190""]",9,0.0323552294715153,0.06500316087648882
"[""2::2::191""]",9,0.029376046288239296,0.05191154130124445
"[""2::2::192""]",9,0.02508892085023763,0.05360229147279999
"[""2::2::193""]",9,0.030208280030009187,0.07137572627353972
"[""2::2::194""]",9,0.02526605981559215,0.049943198201506694
"[""2::2::195""]",9,0.022072988285496895,0.03832805537401403
"[""2::2::196""]",9,0.022072988285496895,0.03832805537401403
"[""2::2::197""]",9,0.025939370430991437,0.05989505168416257
"[""2::2::198""]",9,0.022889865759060258,0.05901471412684061
"[""2::2::199""]",9,0.02160492848842203,0.06417792785479726
"[""2::2::200""]",9,0.028181653173283545,0.05725433904001339
"[""2::2::201""]",9,0.027401228251298412,0.05536497159440742
"[""2::2::202""]",9,0.03207286900479147,0.06709547884590386
"[""2::2::203""]",9,0.03255281629250329,0.0733027837964279
"[""2::2::204""]",9,0.022300699403871537,0.0510575069537101
"[""2::2::205""]",9,0.03356687769318965,0.05997208493728071
"[""2::2::206""]",9,0.03269213163410417,0.07136722522503024
"[""2::2::207""]",9,0.02700162420333006,0.06692174308348327
"[""2::2::208""]",9,0.030874519970549227,0.08090902952908847
"[""2::2::209""]",9,0.023364314151438036,0.049280972891450094
"[""2::2::210""]",9,0.023009521161105755,0.054775039408968766
"[""2::2::211""]",9,0.01717631609528992,0.033109079043271324
"[""2::2::212""]",9,0.02040614000872403,0.04304169303948552
"[""2::2::213""]",9,0.02382010775246692,0.04616077706998981
"[""2::2::214""]",9,0.027148421632494663,0.06721211304655728
"[""2::2::215""]",9,0.03171213724813951,0.08519859333727721
"[""2::2::216""]",9,0.03299168740635553,0.07544401668472123
"[""2::2::217""]",9,0.023934925967776195,0.06217805713055423
"[""2::2::218""]",9,0.0293266262649912,0.06517407087283865
"[""2::2::219""]",9,0.028872978228561767,0.0878807395775079
