geometry,component,eigenvalue,explained_variance_ratio,cumulative_explained_variance
body_site_12,17,2.5415577013727233e-07,1.3032325942021469e-06,0.9999961499228217
body_site_12,18,1.913207921036103e-07,9.810341590251081e-07,0.9999971309569807
body_site_12,19,1.6352991269374572e-07,8.385310797170322e-07,0.9999979694880604
body_site_12,20,1.1165606506054126e-07,5.725379488675754e-07,0.9999985420260092
body_site_12,21,9.46845324530919e-08,4.855131512182973e-07,0.9999990275391605
body_site_12,22,4.9853183723223047e-08,2.5563178800843687e-07,0.9999992831709484
body_site_12,23,3.8893396800826814e-08,1.9943337262301116e-07,0.999999482604321
body_site_12,24,3.826212266214718e-08,1.9619639306138314e-07,0.9999996788007142
body_site_12,25,1.697258735382521e-08,8.703020606418395e-08,0.9999997658309202
body_site_12,26,1.4171656255265319e-08,7.266789314173435e-08,0.9999998384988134
body_site_12,27,1.1764748433179357e-08,6.032601035352014e-08,0.9999998988248237
body_site_12,28,8.358507311333105e-09,4.285985386490648e-08,0.9999999416846775
body_site_12,29,5.7755068663747324e-09,2.9615022284296482e-08,0.9999999712996999
body_site_12,30,3.3639042181263934e-09,1.7249065871959488e-08,0.9999999885487657
body_site_12,31,2.2332139762164258e-09,1.145123418626729e-08,0.9999999999999999
body_site_2,1,0.18792221405480009,0.9502330493507847,0.9502330493507847
body_site_2,2,0.006688072050852363,0.03381839199332733,0.984051441344112
body_site_2,3,0.0023077376777675645,0.01166912928137012,0.9957205706254821
body_site_2,4,0.0004182052211922756,0.0021146644348925756,0.9978352350603747
body_site_2,5,0.00025472412377932415,0.001288018460720404,0.9991232535210951
body_site_2,6,7.287560603202516e-05,0.00036849719811679117,0.9994917507192119
body_site_2,7,4.4152188897217645e-05,0.00022325657082286453,0.9997150072900348
body_site_2,8,2.481912969992742e-05,0.00012549850700523,0.9998405057970401
body_site_2,9,9.01385123851302e-06,4.557874858939697e-05,0.9998860845456294
body_site_2,10,6.178515224095113e-06,3.124180603864156e-05,0.9999173263516681
body_site_2,11,4.473365752210672e-06,2.261967804585866e-05,0.9999399460297139
body_site_2,12,3.070445391786586e-06,1.5525778589707434e-05,0.9999554718083036
body_site_2,13,2.197927632560524e-06,1.1113872231897484e-05,0.9999665856805354
body_site_2,14,1.736423850234273e-06,8.780267614835486e-06,0.9999753659481503
body_site_2,15,9.421769109470818e-07,4.764139479838572e-06,0.9999801300876301
body_site_2,16,8.604695522783243e-07,4.350984318950724e-06,0.9999844810719491
body_site_2,17,5.626104648667235e-07,2.8448529106360516e-06,0.9999873259248598
body_site_2,18,5.386072236106972e-07,2.7234799625376154e-06,0.9999900494048224
body_site_2,19,3.2827085593603604e-07,1.659909223707467e-06,0.9999917093140461
body_site_2,20,2.9804663405423506e-07,1.5070797422783934e-06,0.9999932163937884
body_site_2,21,2.7943362871411144e-07,1.4129626475491323e-06,0.9999946293564359
body_site_2,22,2.0700182604359959e-07,1.0467095514595765e-06,0.9999956760659874
body_site_2,23,1.769210378997663e-07,8.946053460650279e-07,0.9999965706713334
body_site_2,24,1.6848413662100975e-07,8.519439583759358e-07,0.9999974226152918
body_site_2,25,1.1612044389548661e-07,5.871657273184224e-07,0.9999980097810192
body_site_2,26,1.0207465651468063e-07,5.16142876504713e-07,0.9999985259238957
body_site_2,27,8.655442353416363e-08,4.376644571976125e-07,0.9999989635883529
body_site_2,28,7.395083671270288e-08,3.7393412708016516e-07,0.99999933752248
